balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=4,p=8,0,0,0,0,26,413,1938,5593,10822,16511,21729,26086,29556,32241,34289
b=4,p=9,0,0,0,0,48,1040,5978,17350,38278,63630,88828,110922,128964,143164,154100
b=4,p=10,0,0,0,0,83,2581,18276,60624,130929,239911,357232,466378,558851,633065,690890
b=4,p=11,0,0,0,0,154,6520,56218,212132,499456,885283,1417250,1942532,2407600,2791304,3094990
b=4,p=12,0,0,0,0,272,16439,172975,741712,1902894,3576459,5525885,8001631,10294502,12249922,13830354
b=4,p=13,0,0,0,0,504,42006,535824,2600998,7259460,14460772,23266024,32560118,43685966,53504612,61641848
b=4,p=14,0,0,0,0,912,107766,1668645,9148521,27735587,58526166,98054416,141215262,183692487,232387375,273813748
b=4,p=15,0,0,0,0,1686,278148,5232928,32332888,106252544,237287630,413870236,613413152,814572042,1002748501,1211641306
b=4,p=16,0,0,0,0,3098,720232,16498850,114853572,408398462,964117045,1749862284,2668914408,3618396484,4522089093,5336435242
b=4,p=17,0,0,0,0,5758,1873234,52190712,410099246,1576009214,3927799508,7413493188,11633281736,16102130304,20431459364,24382169864
b=4,p=18,0,0,0,0,10664,4887246,165607741,1470508873,6107126023,16050899647,31479293086,50804808575,71786665402,92482557374,111614390554
b=4,p=19,0,0,0,0,19912,12793622,527120338,5286009736,23759565698,65809359456,134004192400,222330042878,320639792510,419387849150,511885942176
b=4,p=20,0,0,0,0,37145,33578627,1682511056,19049086048,92738676973,270719401896,571970269792,975056230193,1434889535857,1905283052232,2351841819514
b=5,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=5,p=2,0,0,0,0,0,1,2,3,4,5,5,5,5,5,5
b=5,p=3,0,0,0,0,0,2,6,11,16,20,23,26,28,29,30
b=5,p=4,0,0,0,0,0,3,14,34,58,81,100,119,133,143,150
b=5,p=5,0,0,0,0,0,6,38,110,211,340,464,570,654,719,784
b=5,p=6,0,0,0,0,0,9,91,347,796,1362,1949,2611,3182,3644,4003
b=5,p=7,0,0,0,0,0,17,230,1104,2998,5764,8946,12118,15014,18096,20602
b=5,p=8,0,0,0,0,0,28,529,3332,10822,23630,40077,57703,74660,89881,102965
b=5,p=9,0,0,0,0,0,52,1378,9800,38278,94976,176716,271948,368572,458620,538132
b=5,p=10,0,0,0,0,0,91,3551,31955,130929,372854,764128,1261671,1799787,2322727,2797312
b=5,p=11,0,0,0,0,0,170,9290,104668,499456,1429477,3249038,5774782,8695426,11676162,14473678
b=5,p=12,0,0,0,0,0,303,24257,342844,1902894,6049728,13541676,26061076,41553458,58205413,74439831
b=5,p=13,0,0,0,0,0,566,63974,1127736,7259460,25597998,61694524,115817039,196436630,287797970,380550744
b=5,p=14,0,0,0,0,0,1034,169231,3721374,27735587,108345612,281004645,556412001,917368411,1410909492,1933263861
b=5,p=15,0,0,0,0,0,1928,450842,12340106,106252544,459145958,1280562244,2673806378,4584469202,6851799683,9756969016
b=5,p=16,0,0,0,0,0,3575,1206245,41115463,408398462,1949287474,5841368624,12856951368,22923472084,35277700049,48882168373
b=5,p=17,0,0,0,0,0,6702,3240496,137665930,1576009214,8296447850,26685455184,61884788768,114719176496,181787291734,257532433236
b=5,p=18,0,0,0,0,0,12526,8731881,462823067,6107126023,35418829534,122146218334,298267683176,574716889506,937689580126,1358194895330
b=5,p=19,0,0,0,0,0,23594,23604966,1560159260,23759565698,151722156914,560433747274,1439933860588,2882881995638,4842261561252,7170956331962
b=5,p=20,0,0,0,0,0,44413,63982227,5272740583,92738676973,652169449474,2578365733260,6965041431930,14482409374011,25037213431015,37906107398304
b=6,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=6,p=2,0,0,0,0,0,0,1,2,3,4,5,6,6,6,6
b=6,p=3,0,0,0,0,0,0,2,6,12,18,23,28,32,35,38
b=6,p=4,0,0,0,0,0,0,3,15,38,68,100,135,165,189,208
b=6,p=5,0,0,0,0,0,0,6,40,125,274,464,666,858,1027,1200
b=6,p=6,0,0,0,0,0,0,9,99,414,1045,1949,3158,4436,5656,6743
b=6,p=7,0,0,0,0,0,0,18,262,1398,4216,8946,15148,22089,30266,38046
b=6,p=8,0,0,0,0,0,0,29,652,4540,16511,40077,74743,116996,162474,207514
b=6,p=9,0,0,0,0,0,0,54,1621,14582,63630,176716,364282,613412,898920,1195452
b=6,p=10,0,0,0,0,0,0,95,4266,45456,239911,764128,1744837,3173577,4925085,6832836
b=6,p=11,0,0,0,0,0,0,178,11390,154972,885283,3249038,8234248,16204502,26702052,38767982
b=6,p=12,0,0,0,0,0,0,319,30381,528666,3576459,13541676,38274960,81697518,143217383,218038907
b=6,p=13,0,0,0,0,0,0,598,81766,1809928,14460772,61694524,175013231,406796450,760373094,1216027456
b=6,p=14,0,0,0,0,0,0,1097,220613,6211971,58526166,281004645,869440448,1997930104,3995400853,6725927559
b=6,p=15,0,0,0,0,0,0,2054,598748,21396552,237287630,1280562244,4318226464,10583541870,20759172878,36888525976
b=6,p=16,0,0,0,0,0,0,3825,1631134,73956072,964117045,5841368624,21452754474,56057146748,115438861983,200467594825
b=6,p=17,0,0,0,0,0,0,7200,4464158,256622294,3927799508,26685455184,106652065708,296999421132,642008622534,1157286677196
b=6,p=18,0,0,0,0,0,0,13515,12260667,893870335,16050899647,122146218334,530804285649,1574527388090,3571894771352,6683075772294
b=6,p=19,0,0,0,0,0,0,25562,33778552,3124978170,65809359456,560433747274,2645741938910,8355042656726,19885364154622,38613214660858
b=6,p=20,0,0,0,0,0,0,48323,93305491,10959174853,270719401896,2578365733260,13212088929019,44389298054269,110800916153609,223252077544778
b=7,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=7,p=2,0,0,0,0,0,0,0,1,2,3,4,5,6,7,7
b=7,p=3,0,0,0,0,0,0,0,2,6,12,19,26,32,37,42
b=7,p=4,0,0,0,0,0,0,0,3,15,40,75,119,165,208,245
b=7,p=5,0,0,0,0,0,0,0,6,41,140,320,570,858,1153,1476
b=7,p=6,0,0,0,0,0,0,0,9,103,460,1248,2611,4436,6534,8697
b=7,p=7,0,0,0,0,0,0,0,18,278,1604,5264,12118,22089,35816,51330
b=7,p=8,0,0,0,0,0,0,0,30,716,5445,21729,57703,116996,197228,292064
b=7,p=9,0,0,0,0,0,0,0,55,1872,18412,88828,271948,613412,1120632,1764946
b=7,p=10,0,0,0,0,0,0,0,97,4763,61180,357232,1261671,3173577,6300223,10567818
b=7,p=11,0,0,0,0,0,0,0,182,12868,200317,1417250,5774782,16204502,35012394,62721630
b=7,p=12,0,0,0,0,0,0,0,327,34759,701643,5525885,26061076,81697518,192332400,368457129
b=7,p=13,0,0,0,0,0,0,0,614,94710,2466556,23266024,115817039,406796450,1045130406,2143786136
b=7,p=14,0,0,0,0,0,0,0,1129,258743,8692746,98054416,556412001,1997930104,5617304466,12357657297
b=7,p=15,0,0,0,0,0,0,0,2118,710766,30733154,413870236,2673806378,10583541870,29835920773,70568370596
b=7,p=16,0,0,0,0,0,0,0,3952,1959134,108976983,1749862284,12856951368,56057146748,170164539071,398924786748
b=7,p=17,0,0,0,0,0,0,0,7454,5422502,387645058,7413493188,61884788768,296999421132,970351356728,2408490092944
b=7,p=18,0,0,0,0,0,0,0,14021,15057688,1383213232,31479293086,298267683176,1574527388090,5534306156348,14539984260973
b=7,p=19,0,0,0,0,0,0,0,26572,41955186,4951245252,134004192400,1439933860588,8355042656726,31578857564228,87793574331570
b=7,p=20,0,0,0,0,0,0,0,50336,117231562,17777018439,571970269792,6965041431930,44389298054269,180319014528460,530323464958834
b=8,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=8,p=2,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7
b=8,p=3,0,0,0,0,0,0,0,0,2,6,12,20,28,35,42
b=8,p=4,0,0,0,0,0,0,0,0,3,15,41,82,133,189,245
b=8,p=5,0,0,0,0,0,0,0,0,6,42,148,352,654,1027,1476
b=8,p=6,0,0,0,0,0,0,0,0,9,105,491,1456,3182,5656,8697
b=8,p=7,0,0,0,0,0,0,0,0,18,286,1744,6108,15014,30266,51330
b=8,p=8,0,0,0,0,0,0,0,0,30,748,6071,26086,74660,162474,292064
b=8,p=9,0,0,0,0,0,0,0,0,56,2000,21184,110922,368572,898920,1764946
b=8,p=10,0,0,0,0,0,0,0,0,98,5269,73114,466378,1799787,4925085,10567818
b=8,p=11,0,0,0,0,0,0,0,0,184,13876,250682,1942532,8695426,26702052,62721630
b=8,p=12,0,0,0,0,0,0,0,0,331,37766,848711,8001631,41553458,143217383,368457129
b=8,p=13,0,0,0,0,0,0,0,0,622,103674,3036496,32560118,196436630,760373094,2143786136
b=8,p=14,0,0,0,0,0,0,0,0,1145,285411,10893600,141215262,917368411,3995400853,12357657297
b=8,p=15,0,0,0,0,0,0,0,0,2150,789990,39205728,613413152,4584469202,20759172878,70568370596
b=8,p=16,0,0,0,0,0,0,0,0,4016,2193998,141500474,2668914408,22923472084,115438861983,398924786748
b=8,p=17,0,0,0,0,0,0,0,0,7582,6117500,512183600,11633281736,114719176496,642008622534,2408490092944
b=8,p=18,0,0,0,0,0,0,0,0,14276,17110250,1859065068,50804808575,574716889506,3571894771352,14539984260973
b=8,p=19,0,0,0,0,0,0,0,0,27082,48008602,6766371808,222330042878,2882881995638,19885364154622,87793574331570
b=8,p=20,0,0,0,0,0,0,0,0,51354,135073251,24692906346,975056230193,14482409374011,110800916153609,530323464958834
b=9,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=9,p=2,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6
b=9,p=3,0,0,0,0,0,0,0,0,0,2,6,12,20,29,38
b=9,p=4,0,0,0,0,0,0,0,0,0,3,15,42,86,143,208
b=9,p=5,0,0,0,0,0,0,0,0,0,6,42,152,374,719,1200
b=9,p=6,0,0,0,0,0,0,0,0,0,9,106,522,1602,3644,6743
b=9,p=7,0,0,0,0,0,0,0,0,0,18,290,1838,6764,18096,38046
b=9,p=8,0,0,0,0,0,0,0,0,0,30,764,6494,29556,89881,207514
b=9,p=9,0,0,0,0,0,0,0,0,0,56,2064,23082,128964,458620,1195452
b=9,p=10,0,0,0,0,0,0,0,0,0,99,5525,81548,558851,2322727,6832836
b=9,p=11,0,0,0,0,0,0,0,0,0,185,14894,287488,2407600,11676162,38767982
b=9,p=12,0,0,0,0,0,0,0,0,0,333,39796,1006922,10294502,58205413,218038907
b=9,p=13,0,0,0,0,0,0,0,0,0,626,109748,3502573,43685966,287797970,1216027456
b=9,p=14,0,0,0,0,0,0,0,0,0,1153,303565,12718067,183692487,1410909492,6725927559
b=9,p=15,0,0,0,0,0,0,0,0,0,2166,844214,46331640,814572042,6851799683,36888525976
b=9,p=16,0,0,0,0,0,0,0,0,0,4048,2355774,169271614,3618396484,35277700049,200467594825
b=9,p=17,0,0,0,0,0,0,0,0,0,7646,6599670,620198736,16102130304,181787291734,1157286677196
b=9,p=18,0,0,0,0,0,0,0,0,0,14404,18545516,2278414697,71786665402,937689580126,6683075772294
b=9,p=19,0,0,0,0,0,0,0,0,0,27338,52275786,8391738800,320639792510,4842261561252,38613214660858
b=9,p=20,0,0,0,0,0,0,0,0,0,51865,147744539,30983674578,1434889535857,25037213431015,223252077544778
