balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=3,p=8,0 bytes,0 bytes,0 bytes,176 bytes,2.1 KB,7.5 KB,15.5 KB,26.7 KB,36.3 KB,43.6 KB,48.6 KB,52 KB,54.2 KB,55.7 KB,56.8 KB
b=3,p=9,0 bytes,0 bytes,0 bytes,320 bytes,5 KB,21 KB,47.8 KB,78.4 KB,116.7 KB,147.3 KB,169.5 KB,184.7 KB,194.9 KB,201.7 KB,206.3 KB
b=3,p=10,0 bytes,0 bytes,0 bytes,544 bytes,11.5 KB,57.9 KB,146.2 KB,255.6 KB,363.6 KB,489.4 KB,584.9 KB,652.4 KB,698.2 KB,729 KB,749.6 KB
b=3,p=11,0 bytes,0 bytes,0 bytes,992 bytes,27.5 KB,161.6 KB,449.7 KB,837.3 KB,1.2 MB,1.6 MB,2 MB,2.3 MB,2.5 MB,2.6 MB,2.7 MB
b=3,p=12,0 bytes,0 bytes,0 bytes,1.7 KB,65.7 KB,451.6 KB,1.4 MB,2.7 MB,4.2 MB,5.6 MB,6.8 MB,8.1 MB,9 MB,9.6 MB,10 MB
b=3,p=13,0 bytes,0 bytes,0 bytes,3.1 KB,158.7 KB,1.3 MB,4.3 MB,9 MB,14.5 MB,19.7 MB,24.3 MB,28 MB,31.9 MB,34.7 MB,36.5 MB
b=3,p=14,0 bytes,0 bytes,0 bytes,5.5 KB,383.8 KB,3.6 MB,13.3 MB,29.8 MB,49.7 MB,69.5 MB,87.1 MB,101.7 MB,113.4 MB,125.4 MB,133.7 MB
b=3,p=15,0 bytes,0 bytes,0 bytes,10 KB,935.1 KB,10.4 MB,41.9 MB,98.7 MB,171.2 MB,245.9 MB,313.6 MB,370.7 MB,416.5 MB,452.3 MB,489.1 MB
b=3,p=16,0 bytes,0 bytes,0 bytes,18.1 KB,2.3 MB,29.8 MB,132 MB,328.9 MB,591.6 MB,871.8 MB,1.1 GB,1.4 GB,1.5 GB,1.7 GB,1.8 GB
b=3,p=17,0 bytes,0 bytes,0 bytes,32.9 KB,5.6 MB,85.9 MB,417.5 MB,1.1 GB,2.1 GB,3.1 GB,4.1 GB,5 GB,5.7 GB,6.2 GB,6.7 GB
b=3,p=18,0 bytes,0 bytes,0 bytes,59.8 KB,13.8 MB,248.5 MB,1.3 GB,3.7 GB,7.2 GB,11.1 GB,14.9 GB,18.2 GB,21 GB,23.2 GB,25 GB
b=3,p=19,0 bytes,0 bytes,0 bytes,109.5 KB,34.1 MB,720.8 MB,4.2 GB,12.5 GB,25 GB,39.6 GB,54.1 GB,67.1 GB,78 GB,86.8 GB,93.6 GB
b=3,p=20,0 bytes,0 bytes,0 bytes,200.3 KB,84.6 MB,2.1 GB,13.5 GB,42.2 GB,87.7 GB,142.2 GB,197.5 GB,247.9 GB,290.5 GB,325 GB,352.2 GB
