balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=8,p=6,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,72 bytes,840 bytes,3.9 KB,11.6 KB,25.5 KB,45.2 KB,69.6 KB
b=8,p=7,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,144 bytes,2.3 KB,14 KB,48.9 KB,120.1 KB,242.1 KB,410.6 KB
b=8,p=8,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,240 bytes,6 KB,48.6 KB,208.7 KB,597.3 KB,1.3 MB,2.3 MB
b=8,p=9,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,448 bytes,16 KB,169.5 KB,887.4 KB,2.9 MB,7.2 MB,14.1 MB
b=8,p=10,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,784 bytes,42.2 KB,584.9 KB,3.7 MB,14.4 MB,39.4 MB,84.5 MB
b=8,p=11,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,1.5 KB,111 KB,2 MB,15.5 MB,69.6 MB,213.6 MB,501.8 MB
b=8,p=12,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,2.6 KB,302.1 KB,6.8 MB,64 MB,332.4 MB,1.1 GB,2.9 GB
b=8,p=13,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,5 KB,829.4 KB,24.3 MB,260.5 MB,1.6 GB,6.1 GB,17.2 GB
b=8,p=14,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,9.2 KB,2.3 MB,87.1 MB,1.1 GB,7.3 GB,32 GB,98.9 GB
b=8,p=15,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,17.2 KB,6.3 MB,313.6 MB,4.9 GB,36.7 GB,166.1 GB,564.5 GB
b=8,p=16,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,32.1 KB,17.6 MB,1.1 GB,21.4 GB,183.4 GB,923.5 GB,3.2 TB
b=8,p=17,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,60.7 KB,48.9 MB,4.1 GB,93.1 GB,917.8 GB,5.1 TB,19.3 TB
b=8,p=18,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,114.2 KB,136.9 MB,14.9 GB,406.4 GB,4.6 TB,28.6 TB,116.3 TB
b=8,p=19,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,216.7 KB,384.1 MB,54.1 GB,1.8 TB,23.1 TB,159.1 TB,702.3 TB
b=8,p=20,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,410.8 KB,1.1 GB,197.5 GB,7.8 TB,115.9 TB,886.4 TB,4242.6 TB
b=9,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=9,p=2,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,40 bytes,48 bytes
b=9,p=3,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,96 bytes,160 bytes,232 bytes,304 bytes
b=9,p=4,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,120 bytes,336 bytes,688 bytes,1.1 KB,1.7 KB
b=9,p=5,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,336 bytes,1.2 KB,3 KB,5.8 KB,9.6 KB
b=9,p=6,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,72 bytes,848 bytes,4.2 KB,12.8 KB,29.2 KB,53.9 KB
b=9,p=7,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,144 bytes,2.3 KB,14.7 KB,54.1 KB,144.8 KB,304.4 KB
b=9,p=8,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,240 bytes,6.1 KB,52 KB,236.4 KB,719 KB,1.7 MB
b=9,p=9,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,448 bytes,16.5 KB,184.7 KB,1 MB,3.7 MB,9.6 MB
b=9,p=10,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,792 bytes,44.2 KB,652.4 KB,4.5 MB,18.6 MB,54.7 MB
b=9,p=11,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,1.5 KB,119.2 KB,2.3 MB,19.3 MB,93.4 MB,310.1 MB
b=9,p=12,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,2.7 KB,318.4 KB,8.1 MB,82.4 MB,465.6 MB,1.7 GB
b=9,p=13,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,5 KB,878 KB,28 MB,349.5 MB,2.3 GB,9.7 GB
b=9,p=14,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,9.2 KB,2.4 MB,101.7 MB,1.5 GB,11.3 GB,53.8 GB
b=9,p=15,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,17.3 KB,6.8 MB,370.7 MB,6.5 GB,54.8 GB,295.1 GB
b=9,p=16,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,32.4 KB,18.8 MB,1.4 GB,28.9 GB,282.2 GB,1.6 TB
b=9,p=17,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,61.2 KB,52.8 MB,5 GB,128.8 GB,1.5 TB,9.3 TB
b=9,p=18,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,115.2 KB,148.4 MB,18.2 GB,574.3 GB,7.5 TB,53.5 TB
b=9,p=19,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,218.7 KB,418.2 MB,67.1 GB,2.6 TB,38.7 TB,308.9 TB
b=9,p=20,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,414.9 KB,1.2 GB,247.9 GB,11.5 TB,200.3 TB,1786 TB
